直播,#genre#
西藏卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xizang/1000/index.m3u8?&encrypt=
山东卫视,http://hlsbkmgsplive.miguvideo.com/wd-shandonghd-1200/index.m3u8?&encrypt=
广东卫视,http://hlsbkmgsplive.miguvideo.com/ws_w/2018/gdws/gdws2000/2000/index.m3u8?&encrypt=
广西卫视,http://hlsbkmgsplive.miguvideo.com/wd-guangxiwssd-600/index.m3u8?&encrypt=
甘肃卫视,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/gansu/1000/index.m3u8?&encrypt=
青海卫视,http://hlsbkmgsplive.miguvideo.com/envivo_w/2018/SD/qinghai/1000/index.m3u8?&encrypt=
陕西卫视,http://hlsbkmgsplive.miguvideo.com/envivo_w/2018/SD/shan3xi/1000/index.m3u8?&encrypt=
河南卫视,http://hlsbkmgsplive.miguvideo.com/wd-henanwssd-600/index.m3u8?&encrypt=
大湾区卫视,http://hlsbkmgsplive.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?&encrypt=
云南卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/yunnan/1000/index.m3u8?&encrypt=
贵州卫视,http://hlsbkmgsplive.miguvideo.com/wd-guizhouwssd-600/index.m3u8?&encrypt=
新疆卫视,http://hlsbkmgsplive.miguvideo.com/wd-xinjiangwssd-600/index.m3u8?&encrypt=
农林卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8

CCTV1,http://120.196.232.32:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8?icpid=651&from=38&hms_devid=2232&online=1687246054&vqe=3
CCTV16,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CGTN,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CCTV1,http://111.13.111.242/000000001000PLTV/88888888/224/3221236219/1.m3u8?HlsProfileId=
CCTV2,http://111.13.111.242/000000001000PLTV/88888888/224/3221235743/1.m3u8?HlsProfileId=
CCTV4,http://111.13.111.242/000000001000PLTV/88888888/224/3221236202/1.m3u8?HlsProfileId=
CCTV7,http://111.13.111.242/000000001000PLTV/88888888/224/3221235759/1.m3u8?HlsProfileId=
CCTV9,http://111.13.111.242/000000001000PLTV/88888888/224/3221235767/1.m3u8?HlsProfileId=
CCTV11,http://111.13.111.242/000000001000PLTV/88888888/224/3221236200/1.m3u8?HlsProfileId=
CCTV12,http://111.13.111.242/000000001000PLTV/88888888/224/3221235735/1.m3u8?HlsProfileId=
CCTV13,http://111.13.111.242/000000001000PLTV/88888888/224/3221236187/1.m3u8?HlsProfileId=
CCTV14,http://111.13.111.242/000000001000PLTV/88888888/224/3221235776/1.m3u8?HlsProfileId=
CCTV15,http://111.13.111.242/000000001000PLTV/88888888/224/3221236203/1.m3u8?HlsProfileId=
CCTV17,http://111.13.111.242/000000001000PLTV/88888888/224/3221236190/1.m3u8?HlsProfileId=

东方卫视,http://221.224.4.170:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,https://sjlivecdn9.cbg.cn/202312010019/app_2/_definst_/ls_2.stream/chunklist.m3u8
河南卫视,http://110.242.20.24/tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=29a51f52014b82dcea006adf02ba8487&wsTime=1701466806&wsSession=8a91807bca42afdf293fea5d-170145751040863&wsIPSercert=5b0db1aecf3122e1ca8cb9bb5b4ee144&wsiphost=local&wsBindIP=1m3u8?wsSecret=e9e7400c1a48039c4975cbfa69c33ba5&wsTime=1701372036&wsSession=eb0bfe9b75597f4505b2d9ba-170135801075815&wsIPSercert=5b0db1aecf3122e1ca8cb9bb5b4ee144&wsiphost=local&wsBindIP=1-170135801075815&wsIPSercert=5b0db1aecf3122e1ca8cb9bb5b4ee144&wsiphost=local&wsBindIP=1
山西卫视,https://livehhhttps.sxrtv.com/lsdream/q8RVWgs/1000/n4sh8sV.m3u8
江西卫视,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8?source=pc&t=170136577478931&token=6f10e030312c8c458b3ac4e9f908712c
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8

CCTV1,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0001_1.m3u8
CCTV2,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0002_1.m3u8
CCTV3,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0003_1.m3u8
CCTV4,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0004_1.m3u8
CCTV5,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0005_1.m3u8
CCTV6,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0006_1.m3u8
CCTV7,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0007_1.m3u8
CCTV8,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0008_1.m3u8
CCTV9,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0009_1.m3u8
CCTV10,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0010_1.m3u8
CCTV11,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0011_1.m3u8
CCTV12,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0012_1.m3u8
CCTV13,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0013_1.m3u8
CCTV14,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0014_1.m3u8
CCTV15,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0015_1.m3u8
CCTV17,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0019_1.m3u8
CCTV第一剧场,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1012_1.m3u8
CCTV风云足球,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1019_1.m3u8
CGTN,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1002_1.m3u8
浙江卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0124_1.m3u8
江苏卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0127_1.m3u8
上海卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0107_1.m3u8
广东卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0125_1.m3u8
湖南卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0128_1.m3u8
中国教育,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1018_1.m3u8
安徽卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0130_1.m3u8
辽宁卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0121_1.m3u8
重庆卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0142_1.m3u8
四川卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0123_1.m3u8
湖北卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0132_1.m3u8
江西卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0138_1.m3u8
东南卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/0137_1.m3u8
金鹰卡通,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1000_1.m3u8
BTV卡通,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1001_1.m3u8
宁夏卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1003_1.m3u8
广西卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1004_1.m3u8
旅游卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1005_1.m3u8
河南卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1006_1.m3u8
吉林卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1007_1.m3u8
黑龙江卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1008_1.m3u8
山西卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1009_1.m3u8
云南卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1010_1.m3u8
贵州卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1011_1.m3u8
陕西卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1013_1.m3u8
青海卫视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1014_1.m3u8
湖北垄上,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1015_1.m3u8
湖北影视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1016_1.m3u8
湖北经视,http://2591524704.iptv.netsxz.com:61800/tsfile/live/1017_1.m3u8

CCTV1,http://221.224.4.170:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV2,http://221.224.4.170:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV3,http://221.224.4.170:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
CCTV4,http://221.224.4.170:9901/tsfile/live/0004_1.m3u8?key=txiptv&url=tvzb.com
CCTV5,http://221.224.4.170:9901/tsfile/live/0005_1.m3u8?key=txiptv&url=tvzb.com
CCTV6,http://221.224.4.170:9901/tsfile/live/0006_1.m3u8?key=txiptv&url=tvzb.com
CCTV7,http://221.224.4.170:9901/tsfile/live/0007_1.m3u8?key=txiptv&url=tvzb.com
CCTV8,http://221.224.4.170:9901/tsfile/live/0008_1.m3u8?key=txiptv&url=tvzb.com
CCTV9,http://221.224.4.170:9901/tsfile/live/0009_1.m3u8?key=txiptv&url=tvzb.com
CCTV10,http://221.224.4.170:9901/tsfile/live/0010_1.m3u8?key=txiptv&url=tvzb.com
CCTV11,http://221.224.4.170:9901/tsfile/live/0011_1.m3u8?key=txiptv&url=tvzb.com
CCTV12,http://221.224.4.170:9901/tsfile/live/0012_1.m3u8?key=txiptv&url=tvzb.com
CCTV13,http://221.224.4.170:9901/tsfile/live/0013_1.m3u8?key=txiptv&url=tvzb.com
CCTV14,http://221.224.4.170:9901/tsfile/live/0014_1.m3u8?key=txiptv&url=tvzb.com
CCTV15,http://221.224.4.170:9901/tsfile/live/0015_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://221.224.4.170:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
湖南卫视,http://221.224.4.170:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
东方卫视,http://221.224.4.170:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://221.224.4.170:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
浙江卫视,http://221.224.4.170:9901/tsfile/live/0124_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://221.224.4.170:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://221.224.4.170:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://221.224.4.170:9901/tsfile/live/0121_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://221.224.4.170:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://221.224.4.170:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
内蒙卫视,http://221.224.4.170:9901/tsfile/live/0114_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://221.224.4.170:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://221.224.4.170:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://221.224.4.170:9901/tsfile/live/0139_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://221.224.4.170:9901/tsfile/live/0126_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://221.224.4.170:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://221.224.4.170:9901/tsfile/live/0117_1.m3u8?key=txiptv&url=tvzb.com
宁夏卫视,http://221.224.4.170:9901/tsfile/live/0112_1.m3u8?key=txiptv&url=tvzb.com
甘肃卫视,http://221.224.4.170:9901/tsfile/live/0141_1.m3u8?key=txiptv&url=tvzb.com
东南卫视,http://221.224.4.170:9901/tsfile/live/0137_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://221.224.4.170:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://221.224.4.170:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://221.224.4.170:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
吉林卫视,http://221.224.4.170:9901/tsfile/live/0116_1.m3u8?key=txiptv&url=tvzb.com
黑龙江卫视,http://221.224.4.170:9901/tsfile/live/0143_1.m3u8?key=txiptv&url=tvzb.com


CCTV-1,https://cfyy.cc/api/ysp/cctv1.m3u8
CCTV-2,https://cfyy.cc/api/ysp/cctv2.m3u8
CCTV-3,https://cfyy.cc/api/ysp/cctv3.m3u8
CCTV-4,https://cfyy.cc/api/ysp/cctv4.m3u8
CCTV-5,https://cfyy.cc/api/ysp/cctv5.m3u8
CCTV-5+,https://cfyy.cc/api/ysp/cctv5p.m3u8
CCTV-6,https://cfyy.cc/api/ysp/cctv6.m3u8
CCTV-7,https://cfyy.cc/api/ysp/cctv7.m3u8
CCTV-8,https://cfyy.cc/api/ysp/cctv8.m3u8
CCTV-9,https://cfyy.cc/api/ysp/cctv9.m3u8
CCTV-10,https://cfyy.cc/api/ysp/cctv10.m3u8
CCTV-11,https://cfyy.cc/api/ysp/cctv11.m3u8
CCTV-12,https://cfyy.cc/api/ysp/cctv12.m3u8
CCTV-13,https://cfyy.cc/api/ysp/cctv13.m3u8
CCTV-14,https://cfyy.cc/api/ysp/cctv14.m3u8
CCTV-15,https://cfyy.cc/api/ysp/cctv15.m3u8
CCTV-16,https://cfyy.cc/api/ysp/cctv16.m3u8
北京卫视,http://cfyy.cc/api/ysp/bjws.m3u8
东方卫视,http://cfyy.cc/api/ysp/dfws.m3u8
广东卫视,http://cfyy.cc/api/ysp/gdws.m3u8
辽宁卫视,http://cfyy.cc/api/ysp/lnws.m3u8
浙江卫视,http://cfyy.cc/api/ysp/zjws.m3u8
江苏卫视,http://cfyy.cc/api/ysp/jsws.m3u8
河南卫视,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
河南都市,http://media.hndyjyfw.gov.cn/live/jz-henandushi/live.m3u8
